variant,dtype,N,bwd,fwd,B,H,D,latency_ms,tflops,peak_mib,max_abs_err,ref_source,status
triton_tiled_fp16,float32,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,skipped:dtype_mismatch
flex,float32,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,oom
naive_pt,float16,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,skipped:budget(24.0GiB)
strided_pt,float16,16384,127,128,1,8,64,115.14982604980469,0.0745978946445362,4576.408203125,0.0015816092491149902,self,ok
triton_tiled_fp32,float16,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,skipped:dtype_mismatch
triton_tiled_fp16,float16,16384,127,128,1,8,64,0.3576604127883911,24.017012464508376,216.125,0.000788271427154541,strided_pt,ok
flex,float16,16384,127,128,1,8,64,nan,nan,nan,nan,strided_pt,oom
naive_pt,float32,16384,255,256,1,8,64,nan,nan,nan,nan,none,skipped:budget(24.0GiB)
strided_pt,float32,16384,255,256,1,8,64,nan,nan,nan,nan,none,oom
triton_tiled_fp32,float32,16384,255,256,1,8,64,1.0033338069915771,17.122785123240867,168.125,nan,none,ok
triton_tiled_fp16,float32,16384,255,256,1,8,64,nan,nan,nan,nan,none,skipped:dtype_mismatch
flex,float32,16384,255,256,1,8,64,214.76556396484375,0.07999359332491626,18825.125,nan,none,ok
naive_pt,float16,16384,255,256,1,8,64,nan,nan,nan,nan,none,skipped:budget(24.0GiB)
strided_pt,float16,16384,255,256,1,8,64,244.4646453857422,0.07027547544509671,8840.50390625,nan,none,ok
triton_tiled_fp32,float16,16384,255,256,1,8,64,nan,nan,nan,nan,none,skipped:dtype_mismatch
triton_tiled_fp16,float16,16384,255,256,1,8,64,0.5338840484619141,32.17902695069109,184.125,nan,none,ok
flex,float16,16384,255,256,1,8,64,208.8099822998047,0.08227513356776943,18857.125,nan,none,ok
